id,title,description,link,image_link,availability,price,google_product_category,brand,condition,identifier_exists
FM-bouquet-omaggio-solenne,Bouquet Omaggio Solenne - Consegna Fiori Funerale con Foto WhatsApp,"Sobrietà e distinzione in un bouquet di alta qualità. Fiori stagionali selezionati per un saluto dignitoso e composto. La scelta ideale per esprimere stima e rispetto. Foto della consegna inclusa su WhatsApp. Servizio FloreMoria: consegna dell'omaggio floreale sulla tomba o nel luogo indicato da fioristi partner locali, con foto di conferma inviata su WhatsApp e nel profilo personale.",https://www.floremoria.com/fiori-per-funerale/bouquet-omaggio-solenne,https://www.floremoria.com/images/products/Fiori-per-Funerale/bouquet-omaggio-solenne/bouquet-omaggio-solenne-funerale-defunti-lutto-ancona.webp,in_stock,69.99 EUR,Home & Garden > Plants > Flowers & Cut Flowers,FloreMoria,new,no
FM-bouquet-memoria-imperituri,Bouquet Memoria Eterna - Consegna Fiori Funerale con Foto WhatsApp,"Fiori nobili scelti per un ricordo che sfida il tempo. Una composizione ricca ed elegante, pensata per un tributo di alto profilo. Artigianalità locale e freschezza garantita con verifica fotografica su smartphone. Servizio FloreMoria: consegna dell'omaggio floreale sulla tomba o nel luogo indicato da fioristi partner locali, con foto di conferma inviata su WhatsApp e nel profilo personale.",https://www.floremoria.com/fiori-per-funerale/bouquet-memoria-imperituri,https://www.floremoria.com/images/products/Fiori-per-Funerale/bouquet-memoria-eterna/bouquet-memoria-eterna-fiori-funerale-tomba-catania.webp,in_stock,89.99 EUR,Home & Garden > Plants > Flowers & Cut Flowers,FloreMoria,new,no
FM-nastro-commemorativo,Nastro commemorativo - Accessorio Omaggio FloreMoria con Consegna e Foto WhatsApp,"Il tuo ultimo messaggio impresso con eleganza. Un nastro personalizzato con scritte artigianali per rendere unico il tuo tributo. Un dettaglio di valore che completa ogni omaggio floreale con dignità e rispetto. Servizio FloreMoria: consegna dell'omaggio floreale sulla tomba o nel luogo indicato da fioristi partner locali, con foto di conferma inviata su WhatsApp e nel profilo personale.",https://www.floremoria.com/accessori/nastro-commemorativo,https://www.floremoria.com/images/products/Fiori-per-Funerale/Nastro%20commemorativo/accessorio-nastro-dedica-commemorativa-omaggio-floreale-palermo.webp,in_stock,14.99 EUR,Home & Garden > Plants > Flowers & Cut Flowers,FloreMoria,new,no
FM-set-ceri,Set Ceri/Candele - Lumino e Candele FloreMoria con Consegna e Foto WhatsApp,"Una luce delicata che accompagna il ricordo. Set di ceri sobri, ideali per creare un'atmosfera di pace, preghiera e silenzio. Un complemento essenziale consegnato con cura e conferma del servizio garantita. Servizio FloreMoria: consegna dell'omaggio floreale sulla tomba o nel luogo indicato da fioristi partner locali, con foto di conferma inviata su WhatsApp e nel profilo personale.",https://www.floremoria.com/accessori/set-ceri,https://www.floremoria.com/images/products/Fiori-per-Funerale/set-ceri-candele/candele-ricordo-defunti-tomba-floremoria-cimitero-bolzano.webp,in_stock,24.99 EUR,Home & Garden > Decor > Candles & Scented Oils,FloreMoria,new,no
FM-cuscino,Cuscino - Consegna Fiori Funerale con Foto WhatsApp,"Un omaggio classico e rassicurante che esprime dolcezza e vicinanza. Questa composizione distesa, dall'armonia cromatica curata, è ideale per un messaggio di profondo cordoglio. Foto della posa inviata via WhatsApp. Servizio FloreMoria: consegna dell'omaggio floreale sulla tomba o nel luogo indicato da fioristi partner locali, con foto di conferma inviata su WhatsApp e nel profilo personale.",https://www.floremoria.com/fiori-per-funerale/cuscino,https://www.floremoria.com/images/products/Fiori-per-Funerale/cuscino/composizione-cuscino-funebre-fiori-floremoria-chiesa-taranto.webp,in_stock,129.99 EUR,Home & Garden > Plants > Flowers & Cut Flowers,FloreMoria,new,no
FM-piramide,Piramide - Consegna Fiori Funerale con Foto WhatsApp,"Composizione solenne a sviluppo verticale, simbolo di elevazione e rispetto. Un equilibrio perfetto di forme e colori stagionali curato da mani esperte. Un omaggio di forte impatto visivo con verifica fotografica garantita. Servizio FloreMoria: consegna dell'omaggio floreale sulla tomba o nel luogo indicato da fioristi partner locali, con foto di conferma inviata su WhatsApp e nel profilo personale.",https://www.floremoria.com/fiori-per-funerale/piramide,https://www.floremoria.com/images/products/Fiori-per-Funerale/piramide/composizione-floreale-piramide-funerale-loculo-defunti-vicenza.webp,in_stock,139.99 EUR,Home & Garden > Plants > Flowers & Cut Flowers,FloreMoria,new,no
FM-copribara,Copribara - Consegna Fiori Funerale con Foto WhatsApp,"Eleganza e solennità per l'ultimo saluto. Una copertura floreale completa, composta con fiori freschi selezionati per dignità e bellezza. Creata artigianalmente per onorare il feretro. Conferma fotografica via WhatsApp inclusa. Servizio FloreMoria: consegna dell'omaggio floreale sulla tomba o nel luogo indicato da fioristi partner locali, con foto di conferma inviata su WhatsApp e nel profilo personale.",https://www.floremoria.com/fiori-per-funerale/copribara,https://www.floremoria.com/images/products/Fiori-per-Funerale/copribara/composizione-copribara-elegante-funerale-fiori-defunti-pescara.webp,in_stock,189.99 EUR,Home & Garden > Plants > Flowers & Cut Flowers,FloreMoria,new,no
FM-cuore-corona,Cuore / Corona - Consegna Fiori Funerale con Foto WhatsApp,"Il massimo tributo di affetto e onore. Una composizione prestigiosa simbolo di amore infinito, realizzata con fiori d'eccellenza dai nostri fioristi locali. Riceverai le due foto della consegna direttamente su WhatsApp come garanzia del servizio. Servizio FloreMoria: consegna dell'omaggio floreale sulla tomba o nel luogo indicato da fioristi partner locali, con foto di conferma inviata su WhatsApp e nel profilo personale.",https://www.floremoria.com/fiori-per-funerale/cuore-corona,https://www.floremoria.com/images/products/Fiori-per-Funerale/cuore-corona/composizione-cuore-funerale-fiori-cimitero-loculo-piacenza.webp,in_stock,199.99 EUR,Home & Garden > Plants > Flowers & Cut Flowers,FloreMoria,new,no
FM-un-raggio-di-sole,Un Raggio di Sole - Omaggio Florale per Animali con Foto WhatsApp,"Pianta fiorita di stagione (es. Kalanchoe, Primula, Ciclamino) in confezione solare. Servizio FloreMoria: consegna dell'omaggio floreale sulla tomba o nel luogo indicato da fioristi partner locali, con foto di conferma inviata su WhatsApp e nel profilo personale.",https://www.floremoria.com/fiori-per-animali-domestici/un-raggio-di-sole,https://www.floremoria.com/images/products/Fiori-per-Piccoli-Amici/Un%20raggio%20di%20sole/composizione-luminosa-tomba-cani-gatti.webp,in_stock,29.99 EUR,Home & Garden > Plants > House & Indoor Plants,FloreMoria,new,no
FM-abbraccio-verde,Abbraccio Verde - Omaggio Florale per Animali con Foto WhatsApp,"Pianta verde stagionale o succulenta in vaso di ceramica o terracotta. Servizio FloreMoria: consegna dell'omaggio floreale sulla tomba o nel luogo indicato da fioristi partner locali, con foto di conferma inviata su WhatsApp e nel profilo personale.",https://www.floremoria.com/fiori-per-animali-domestici/abbraccio-verde,https://www.floremoria.com/images/products/Fiori-per-Piccoli-Amici/Abbraccio%20Verde/composizione-piante-cimitero-animali.webp,in_stock,39.99 EUR,Home & Garden > Plants > House & Indoor Plants,FloreMoria,new,no
FM-legame-eterno,Legame Eterno - Omaggio Florale per Animali con Foto WhatsApp,"Composizione di piante grasse miste (resistenti) in ciotola decorata. Servizio FloreMoria: consegna dell'omaggio floreale sulla tomba o nel luogo indicato da fioristi partner locali, con foto di conferma inviata su WhatsApp e nel profilo personale.",https://www.floremoria.com/fiori-per-animali-domestici/legame-eterno,https://www.floremoria.com/images/products/Fiori-per-Piccoli-Amici/Legame%20eterno/bouquet-rose-ricordo-gatto-consegna.webp,in_stock,49.99 EUR,Home & Garden > Plants > House & Indoor Plants,FloreMoria,new,no
FM-battito-di-foglia,Battito di Foglia - Omaggio Florale per Animali con Foto WhatsApp,"Pianta da interno elegante (es. Spatifillo, Anthurium) a foglia larga e lucida. Servizio FloreMoria: consegna dell'omaggio floreale sulla tomba o nel luogo indicato da fioristi partner locali, con foto di conferma inviata su WhatsApp e nel profilo personale.",https://www.floremoria.com/fiori-per-animali-domestici/battito-di-foglia,https://www.floremoria.com/images/products/Fiori-per-Piccoli-Amici/Battito%20di%20Foglia/composizione-fiorita-naturale-animali.webp,in_stock,69.99 EUR,Home & Garden > Plants > House & Indoor Plants,FloreMoria,new,no
FM-anima-pura,Anima Pura - Omaggio Florale per Animali con Foto WhatsApp,"Pianta fiorita d'eccellenza (es. Orchidea o pianta premium bianca) con nastro in seta. Servizio FloreMoria: consegna dell'omaggio floreale sulla tomba o nel luogo indicato da fioristi partner locali, con foto di conferma inviata su WhatsApp e nel profilo personale.",https://www.floremoria.com/fiori-per-animali-domestici/anima-pura,https://www.floremoria.com/images/products/Fiori-per-Piccoli-Amici/Anima%20Pura/anima-pura-fiori-bianchi-autunno-animali.webp,in_stock,84.99 EUR,Home & Garden > Plants > House & Indoor Plants,FloreMoria,new,no
FM-il-giardino-del-ponte,Il Giardino del Ponte - Omaggio Florale per Animali con Foto WhatsApp,"Composizione mista ""Lusso"" di piante verdi e fiorite di stagione in cesto o cassetta legno. Servizio FloreMoria: consegna dell'omaggio floreale sulla tomba o nel luogo indicato da fioristi partner locali, con foto di conferma inviata su WhatsApp e nel profilo personale.",https://www.floremoria.com/fiori-per-animali-domestici/il-giardino-del-ponte,https://www.floremoria.com/images/products/Fiori-per-Piccoli-Amici/Il%20Giardino%20del%20Ponte/composizione-fiori-freschi-rosso-bianco-animali.webp,in_stock,99.99 EUR,Home & Garden > Plants > House & Indoor Plants,FloreMoria,new,no
FM-lumino-piccoli-amici,Lumino Piccoli Amici - Lumino e Candele FloreMoria con Consegna e Foto WhatsApp,"Un lumino delicato dedicato al tuo compagno fedele. Servizio FloreMoria: consegna dell'omaggio floreale sulla tomba o nel luogo indicato da fioristi partner locali, con foto di conferma inviata su WhatsApp e nel profilo personale.",https://www.floremoria.com/accessori/lumino-piccoli-amici,https://www.floremoria.com/images/products/Fiori-per-Piccoli-Amici/Lumino%20Piccoli%20Amici/candela-ricordo-animali-domestici-rosso.webp,in_stock,4.99 EUR,Home & Garden > Decor > Candles & Scented Oils,FloreMoria,new,no
FM-biglietto-piccoli-amici,Messaggio Piccoli Amici - Accessorio Omaggio FloreMoria con Consegna e Foto WhatsApp,"Un biglietto dolce per un ultimo pensiero affettuoso. Servizio FloreMoria: consegna dell'omaggio floreale sulla tomba o nel luogo indicato da fioristi partner locali, con foto di conferma inviata su WhatsApp e nel profilo personale.",https://www.floremoria.com/accessori/biglietto-piccoli-amici,https://www.floremoria.com/images/products/Fiori-per-Piccoli-Amici/Biglietto%20Piccoli%20Amici/biglietto-condoglianze-animali-cuore.webp,in_stock,2.99 EUR,Home & Garden > Plants > Flowers & Cut Flowers,FloreMoria,new,no
FM-ceri-piccoli-amici,Set Ceri Piccoli Amici - Lumino e Candele FloreMoria con Consegna e Foto WhatsApp,"Ceri eleganti per casa funeraria o per il ricordo casalingo. Servizio FloreMoria: consegna dell'omaggio floreale sulla tomba o nel luogo indicato da fioristi partner locali, con foto di conferma inviata su WhatsApp e nel profilo personale.",https://www.floremoria.com/accessori/ceri-piccoli-amici,https://www.floremoria.com/images/products/Fiori-per-Piccoli-Amici/Ceri%20Piccoli%20Amici/candele-commemorative-lutto-animali-cani.webp,in_stock,19.99 EUR,Home & Garden > Decor > Candles & Scented Oils,FloreMoria,new,no
FM-nastro-commemorativo-piccoli-amici,Nastro Piccoli Amici - Accessorio Omaggio FloreMoria con Consegna e Foto WhatsApp,"Nastro personalizzato e discreto per il tuo tributo. Servizio FloreMoria: consegna dell'omaggio floreale sulla tomba o nel luogo indicato da fioristi partner locali, con foto di conferma inviata su WhatsApp e nel profilo personale.",https://www.floremoria.com/accessori/nastro-commemorativo-piccoli-amici,https://www.floremoria.com/images/products/Fiori-per-Piccoli-Amici/Nastro%20Commemorativo%20Piccoli%20Amici/nastro-commemorativo-seta-viola-animali.webp,in_stock,14.99 EUR,Home & Garden > Plants > Flowers & Cut Flowers,FloreMoria,new,no
FM-foto-stato-prima-consegna,Foto stato di fatto prima della consegna - Accessorio Omaggio FloreMoria con Consegna e Foto WhatsApp,"Supplemento per ricevere su WhatsApp lo scatto del luogo prima che il fiorista posi l'omaggio (oltre alla foto gratuita dopo la posa). Servizio FloreMoria: consegna dell'omaggio floreale sulla tomba o nel luogo indicato da fioristi partner locali, con foto di conferma inviata su WhatsApp e nel profilo personale.",https://www.floremoria.com/accessori/foto-stato-prima-consegna,https://www.floremoria.com/images/products/fiori-sulle-tombe/messaggio/biglietto-commemorativo-messaggio-caro-estinto-floremoria-parma.webp,in_stock,1.49 EUR,Home & Garden > Plants > Flowers & Cut Flowers,FloreMoria,new,no
